id,minimum_latitude,minimum_longitude
1,-90.00000,-180.00000
10,-20.00000,-140.00000
11,-20.00000,-140.00000
12,31.00000,-107.00000
13,31.00000,-107.00000
14,31.00000,-107.00000
15,31.00000,-107.00000
16,31.00000,-107.00000
17,31.00000,-107.00000
18,-20.00000,-140.00000
19,-20.00000,-140.00000
20,-20.00000,-140.00000
21,-20.00000,-140.00000
22,-20.00000,-140.00000
23,30.00000,-106.00000
24,25.00000,-125.00000
25,25.00000,-125.00000
26,33.00000,-107.00000
27,31.00000,-107.00000
28,25.00000,-125.00000
29,25.00000,-125.00000
30,25.00000,-125.00000
31,25.00000,-125.00000
32,33.00000,-107.00000
33,33.00000,-107.00000
34,33.00000,-107.00000
35,33.00000,-107.00000
36,33.00000,-107.00000
37,33.00000,-107.00000
38,27.00000,-84.00000
39,27.00000,-84.00000
40,30.00000,-105.00000
41,39.07000,-95.62000
42,41.00000,-97.00000
43,37.00000,-105.00000
44,30.00000,-105.00000
45,39.00000,-106.00000
46,27.00000,-84.00000
47,34.00000,-99.00000
48,34.00000,-102.00000
49,34.00000,-102.00000
50,30.00000,-105.00000
51,30.00000,-105.00000
52,30.00000,-180.00000
53,39.00000,-97.00000
54,27.00000,-84.00000
55,27.00000,-84.00000
56,32.00000,-135.00000
57,27.00000,-84.00000
58,27.00000,-84.00000
59,32.00000,-106.00000
60,30.00000,-105.00000
61,30.00000,-105.00000
62,30.00000,-105.00000
63,33.00000,-99.00000
64,31.00000,-107.00000
65,27.00000,-84.00000
66,27.00000,-84.00000
67,27.00000,-84.00000
68,30.00000,-105.00000
69,30.00000,-105.00000
70,30.00000,-105.00000
71,30.00000,-105.00000
72,30.00000,-105.00000
73,30.00000,-105.00000
74,27.00000,-84.00000
75,27.00000,-84.00000
76,31.00000,-107.00000
77,31.00000,-107.00000
78,31.00000,-107.00000
79,27.00000,-84.00000
80,30.00000,-105.00000
81,30.00000,-105.00000
82,30.00000,-105.00000
83,27.00000,-84.00000
84,30.00000,-105.00000
85,23.00000,-130.00000
86,27.00000,-84.00000
87,32.00000,-102.00000
88,27.00000,-84.00000
89,27.00000,-84.00000
90,-20.00000,-140.00000
91,-20.00000,-140.00000
92,-20.00000,-140.00000
93,-20.00000,-140.00000
94,-20.00000,-140.00000
95,-20.00000,-140.00000
96,-20.00000,-140.00000
97,-20.00000,-140.00000
98,-20.00000,-140.00000
99,-20.00000,-140.00000
100,40.00000,-140.00000
101,20.00000,-180.00000
102,-90.00000,-180.00000
103,31.00000,-107.00000
104,31.00000,-107.00000
105,31.00000,-107.00000
106,30.00000,-109.00000
107,30.00000,-109.00000
108,30.00000,-109.00000
109,27.00000,-84.00000
110,27.00000,-84.00000
111,32.00000,-102.00000
112,32.00000,-102.00000
113,32.00000,-102.00000
114,27.00000,-84.00000
115,32.00000,-102.00000
116,32.00000,-102.00000
117,26.00000,-125.00000
118,26.00000,-125.00000
119,26.00000,-125.00000
120,31.00000,-107.00000
121,25.00000,-125.00000
122,26.00000,-155.00000
123,-20.00000,-140.00000
124,34.00000,-103.00000
125,25.00000,-127.00000
126,29.00000,-127.00000
127,25.00000,-127.00000
128,-90.00000,150.00000
129,-55.00000,125.00000
130,-90.00000,110.00000
131,-90.00000,150.00000
132,-90.00000,120.00000
133,-90.00000,150.00000
134,-90.00000,150.00000
135,-90.00000,110.00000
136,-55.00000,125.00000
137,-55.00000,125.00000
138,-55.00000,125.00000
139,30.00000,-105.00000
140,-55.00000,125.00000
141,-55.00000,125.00000
142,-55.00000,125.00000
143,-55.00000,125.00000
144,-55.00000,125.00000
145,-55.00000,125.00000
146,-90.00000,-180.00000
147,-70.00000,110.00000
148,-70.00000,110.00000
149,-70.00000,110.00000
150,-70.00000,110.00000
151,-70.00000,110.00000
152,-70.00000,110.00000
153,-70.00000,110.00000
154,-90.00000,-180.00000
155,-70.00000,110.00000
156,-70.00000,110.00000
157,-70.00000,110.00000
158,-70.00000,110.00000
159,-70.00000,110.00000
160,-70.00000,110.00000
161,-70.00000,110.00000
162,-20.00000,140.00000
163,31.00000,-107.00000
164,31.00000,-107.00000
165,30.00000,-107.00000
166,30.00000,-107.00000
167,33.00000,-107.00000
168,-60.00000,130.00000
169,31.00000,-107.00000
170,31.00000,-107.00000
171,-41.00000,135.00000
172,27.00000,-84.00000
173,27.00000,-84.00000
174,27.00000,-84.00000
175,30.00000,-105.00000
176,27.00000,-84.00000
177,30.00000,-105.00000
178,-20.00000,-140.00000
179,-70.00000,110.00000
180,-90.00000,110.00000
181,45.00000,105.00000
182,25.00000,-125.00000
183,25.00000,-125.00000
184,30.00000,-106.00000
185,31.00000,-107.00000
186,34.00000,-92.00000
187,34.00000,-92.00000
188,34.00000,-92.00000
189,34.00000,-92.00000
190,38.00000,-99.00000
191,38.00000,-99.00000
192,38.00000,-99.00000
193,38.00000,-99.00000
194,20.00000,-125.00000
195,20.00000,-125.00000
196,20.00000,-125.00000
197,20.00000,-125.00000
198,20.00000,-125.00000
199,20.00000,-125.00000
200,20.00000,-125.00000
201,20.00000,-125.00000
202,20.00000,-125.00000
203,38.00000,-99.00000
204,38.00000,-99.00000
205,38.00000,-99.00000
206,38.00000,-99.00000
207,38.00000,-99.00000
208,38.00000,-99.00000
209,38.00000,-99.00000
210,38.00000,-99.00000
211,38.00000,-99.00000
212,38.00000,-99.00000
213,38.00000,-99.00000
214,38.00000,-99.00000
215,38.00000,-99.00000
216,38.00000,-99.00000
217,38.00000,-99.00000
218,38.00000,-99.00000
219,34.00000,-92.00000
220,34.00000,-92.00000
221,34.00000,-92.00000
222,34.00000,-92.00000
223,34.00000,-92.00000
224,34.00000,-92.00000
225,34.00000,-92.00000
226,34.00000,-92.00000
227,34.00000,-92.00000
228,34.00000,-92.00000
229,34.00000,-92.00000
230,34.00000,-92.00000
231,34.00000,-92.00000
232,34.00000,-92.00000
233,34.00000,-92.00000
234,34.00000,-92.00000
235,31.00000,-107.00000
236,33.00000,-107.00000
237,31.00000,-107.00000
238,33.00000,-107.00000
239,31.00000,-107.00000
240,31.00000,-107.00000
241,31.00000,-107.00000
242,31.00000,-107.00000
243,33.00000,-107.00000
244,33.00000,-107.00000
245,33.00000,-107.00000
246,31.00000,-107.00000
247,31.00000,-107.00000
248,31.00000,-107.00000
249,20.13000,-136.46000
250,-20.83000,-180.00000
251,12.19000,-152.86000
252,-20.83000,-180.00000
253,20.13000,-136.46000
254,16.81000,172.93000
255,16.81000,172.93000
256,16.81000,172.93000
257,16.81000,172.93000
258,16.81000,172.93000
259,20.00000,-110.00000
260,20.00000,-110.00000
261,32.00000,-95.00000
262,20.00000,-125.00000
263,-70.00000,110.00000
